experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,sigma_bin,density_bin,coverage,avg_width
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,0,0.7303370786516854,1.7917023546028867
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,1,0.73568281938326,1.7894768954532745
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,2,0.7472527472527473,1.7853109410561787
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0,0,0.993103448275862,1.7827280788105362
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0,1,0.9961538461538462,1.7795656764580012
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0,2,0.9882352941176471,1.7808284832988255
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,0,0.9325842696629213,1.7811667703578682
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,1,0.9245283018867925,1.787493681778183
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,2,0.9241379310344827,1.7840961249333807
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,0,0.7924528301886793,1.788672236685679
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,1,0.7634854771784232,1.7881858845171914
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,2,0.7428571428571429,1.785286749997067
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0,0,0.993103448275862,1.759249838771761
