experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,eta_bin,mean_w_width,ci95
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modeldt_cbb0c24a,2,0.05708018867076301,0.0007596472164931417
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modeldt_e19f51fd,0,0.022457294560953023,0.0011778756343857688
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modeldt_e19f51fd,1,0.1188620556680995,0.007870885020590883
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modeldt_e19f51fd,2,0.21085167298626764,0.005080787956411426
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_01c3dabd,0,0.07298008731544162,0.0020492715656498157
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_01c3dabd,1,0.11073272115510115,0.0058080981376626975
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_01c3dabd,2,0.14760661217563997,0.007138549081424689
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_1d22e6f5,0,0.0781429062932124,0.003555431827905352
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_1d22e6f5,1,0.09556454985934108,0.003404108562359177
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_1d22e6f5,2,0.10858797701074765,0.0025818956818937206
ce_paper_core_v1,classification,1,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_2d42bc9f,0,0.08890937585953541,0.0036055788798748487
