experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,run_dir,baseline,bin,bin_edge_lo,bin_edge_hi,p_mean,acc_mean,count,acc_ci95
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_65ac3099,stump_on_proba,8,0.7000000000000001,0.8,0.7966597938144382,0.8281573498964804,483,0.033643751543267895
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_65ac3099,surrogate_tree,1,0.0,0.1,0.08123428166447266,0.07228915662650602,415,0.024915804720658134
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_65ac3099,surrogate_tree,3,0.2,0.30000000000000004,0.2817241379310343,0.11764705882352941,51,0.08842655165534388
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_65ac3099,surrogate_tree,6,0.5,0.6000000000000001,0.532444005270092,0.38181818181818183,55,0.12839885265993492
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_65ac3099,surrogate_tree,8,0.7000000000000001,0.8,0.7746808510638322,0.8142857142857143,210,0.05259657783544477
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_65ac3099,surrogate_tree,9,0.8,0.9,0.8418148148148172,0.8364312267657993,269,0.044202338763411106
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,stump_on_proba,2,0.1,0.2,0.13360381861575252,0.12085769980506822,513,0.028207470289389573
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,stump_on_proba,9,0.8,0.9,0.8202663934426325,0.8336755646817249,487,0.03307258610050844
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,surrogate_tree,1,0.0,0.1,0.07876832844574741,0.0707070707070707,396,0.025247374232324205
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,surrogate_tree,3,0.2,0.30000000000000004,0.26551724137931026,0.2621359223300971,103,0.08493543443974307
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,surrogate_tree,4,0.30000000000000004,0.4,0.33066666666666666,0.8181818181818182,11,0.2279309476674526
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,surrogate_tree,6,0.5,0.6000000000000001,0.59,0.0,2,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,surrogate_tree,7,0.6000000000000001,0.7000000000000001,0.6910526315789474,0.5833333333333334,12,0.2789447708511224
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,surrogate_tree,8,0.7000000000000001,0.8,0.75293070565798,0.8016528925619835,121,0.07105088697327437
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,surrogate_tree,9,0.8,0.9,0.8604120879120911,0.8450704225352113,355,0.037640511276573155
